id,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,label
2246,2,0,1,3,Meal Plan 1,0,Room_Type 1,4,2017,8,17,Online,0,0,0,122,3,0
2247,2,0,0,3,Meal Plan 1,0,Room_Type 1,143,2018,8,25,Offline,0,0,0,100,0,0
2248,2,0,0,2,Meal Plan 1,0,Room_Type 1,245,2018,6,17,Online,0,0,0,75,0,1
2249,2,0,1,3,Meal Plan 1,0,Room_Type 4,68,2018,9,8,Online,0,0,0,149.4,1,0
2250,2,0,2,1,Meal Plan 1,0,Room_Type 1,194,2018,10,29,Online,0,0,0,96.3,2,1
2251,1,0,0,2,Meal Plan 1,0,Room_Type 1,9,2018,4,27,Corporate,0,0,0,95,0,0
2252,2,2,0,1,Meal Plan 1,0,Room_Type 6,0,2017,8,21,Online,0,0,0,174,1,0
2253,2,0,0,1,Meal Plan 1,0,Room_Type 1,30,2018,9,7,Online,0,0,0,109,3,0
2254,1,0,2,2,Meal Plan 1,0,Room_Type 1,99,2018,7,9,Online,0,0,0,112.05,0,1
2255,1,0,0,1,Meal Plan 1,0,Room_Type 1,4,2018,12,16,Offline,0,0,0,70,0,0
2256,3,0,2,1,Meal Plan 1,0,Room_Type 4,70,2018,4,9,Online,0,0,0,137.7,2,0
2257,2,0,0,1,Not Selected,0,Room_Type 1,72,2018,7,6,Online,0,0,0,107.1,0,1
2258,2,0,1,0,Meal Plan 1,0,Room_Type 1,5,2018,8,21,Online,0,0,0,167,0,1
2259,2,0,0,3,Meal Plan 1,0,Room_Type 1,271,2018,9,21,Online,0,0,0,101.33,1,1
2260,1,0,0,3,Meal Plan 1,0,Room_Type 1,276,2018,9,22,Offline,0,0,0,95.67,0,0
2261,2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Online,0,0,0,115,1,1
2262,2,0,1,2,Meal Plan 1,0,Room_Type 4,185,2018,12,16,Online,0,0,0,103.5,0,0
2263,2,0,1,2,Not Selected,0,Room_Type 1,185,2018,12,16,Online,0,0,0,79.2,0,1
2264,2,0,2,2,Meal Plan 1,0,Room_Type 1,209,2017,9,6,Online,0,0,0,89.2,0,1
2265,3,0,0,1,Meal Plan 1,0,Room_Type 4,45,2018,12,30,Online,0,0,0,167.4,0,1
2266,2,0,0,1,Meal Plan 1,0,Room_Type 4,54,2018,6,3,Online,0,0,0,140.4,0,0
2267,2,0,0,3,Meal Plan 2,0,Room_Type 1,34,2017,9,23,Online,0,0,0,224.67,0,1
2268,2,0,1,3,Meal Plan 2,0,Room_Type 1,98,2018,7,11,Online,0,0,0,141.75,0,0
2269,2,0,0,2,Meal Plan 1,0,Room_Type 1,152,2018,8,10,Online,0,0,0,114.3,1,1
2270,2,0,2,5,Meal Plan 1,0,Room_Type 1,227,2018,8,29,Offline,0,0,0,80.75,0,0
2271,1,0,2,2,Meal Plan 1,0,Room_Type 4,49,2018,4,10,Online,0,0,0,112.2,0,1
2272,2,1,0,2,Meal Plan 1,0,Room_Type 1,2,2018,3,23,Online,0,0,0,117.65,1,0
2273,2,0,2,4,Not Selected,0,Room_Type 1,185,2018,8,28,Online,0,0,0,61,0,1
2274,2,0,0,3,Meal Plan 1,0,Room_Type 1,183,2018,8,9,Online,0,0,0,112,1,1
2275,2,0,2,2,Meal Plan 2,0,Room_Type 1,61,2018,9,3,Offline,0,0,0,106.25,1,0
2276,1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Online,0,0,0,110,0,1
2277,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,8,2,Online,0,0,0,102.7,0,0
2278,1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,6,8,Corporate,1,1,6,65,1,0
2279,3,0,0,2,Meal Plan 1,0,Room_Type 4,199,2018,11,16,Online,0,0,0,140,0,1
2280,3,0,3,6,Meal Plan 1,0,Room_Type 4,50,2018,8,22,Online,0,0,0,159.6,0,1
2281,2,1,1,2,Meal Plan 1,0,Room_Type 1,9,2018,4,22,Online,0,0,0,149,0,1
2282,2,1,1,2,Meal Plan 1,0,Room_Type 4,68,2018,5,13,Online,0,0,0,140.4,0,1
2283,2,0,2,3,Meal Plan 1,0,Room_Type 4,41,2017,11,1,Offline,0,0,0,60,1,0
2284,3,0,0,3,Meal Plan 1,0,Room_Type 4,55,2018,12,8,Online,0,0,0,101.38,1,0
2285,2,0,2,1,Meal Plan 1,0,Room_Type 1,145,2018,1,3,Offline,0,0,0,65,0,0
2286,2,0,2,4,Meal Plan 1,0,Room_Type 4,93,2018,5,19,Online,0,0,0,132.6,1,0
2287,2,0,0,1,Meal Plan 1,0,Room_Type 1,55,2018,4,6,Offline,0,0,0,80,0,0
2288,1,0,0,2,Meal Plan 1,0,Room_Type 1,85,2017,9,9,Corporate,0,0,0,90,0,0
2289,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,22,Online,0,0,0,190,2,0
2290,1,0,0,2,Not Selected,0,Room_Type 1,2,2018,6,14,Online,0,0,0,104,1,0
2291,2,0,1,2,Meal Plan 1,0,Room_Type 1,86,2018,11,4,Online,0,0,0,90,2,0
2292,2,0,2,0,Not Selected,0,Room_Type 1,0,2018,12,25,Online,0,0,0,80,0,0
2293,2,0,0,4,Not Selected,0,Room_Type 1,12,2018,11,1,Online,0,0,0,93.5,1,0
2294,2,0,0,3,Meal Plan 1,0,Room_Type 4,61,2018,4,7,Online,0,0,0,118.8,0,0
2295,2,0,1,4,Meal Plan 1,0,Room_Type 4,39,2018,2,15,Online,0,0,0,98.1,1,0
2296,3,0,0,1,Meal Plan 1,0,Room_Type 4,31,2018,4,30,Online,0,0,0,168.3,0,1
2297,2,0,1,2,Meal Plan 1,0,Room_Type 1,72,2018,12,23,Online,0,0,0,93.6,1,0
2298,1,0,2,7,Meal Plan 1,0,Room_Type 1,87,2018,9,2,Offline,0,0,0,85,1,0
2299,2,0,0,2,Meal Plan 1,0,Room_Type 1,122,2018,4,15,Offline,0,0,0,94,0,0
2300,2,0,2,3,Meal Plan 1,0,Room_Type 1,303,2018,8,19,Offline,0,0,0,78,1,0
2301,2,1,0,3,Meal Plan 1,0,Room_Type 1,122,2017,7,29,Online,0,0,0,76.5,1,0
2302,2,0,2,4,Not Selected,0,Room_Type 1,124,2018,12,4,Online,0,0,0,74.8,0,1
2303,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,1,26,Corporate,1,0,8,66,0,0
2304,2,0,1,3,Meal Plan 1,0,Room_Type 1,116,2018,11,3,Online,0,0,0,90,1,0
2305,2,0,2,1,Meal Plan 1,0,Room_Type 1,38,2018,3,5,Online,0,0,0,83.9,1,0
2306,1,0,2,0,Meal Plan 1,0,Room_Type 1,2,2018,11,13,Online,0,0,0,103,2,0
2307,1,0,2,8,Meal Plan 1,0,Room_Type 1,45,2018,11,1,Online,0,0,0,101.38,0,1
2308,1,0,2,0,Meal Plan 1,0,Room_Type 1,9,2018,5,29,Online,0,0,0,97.02,1,0
2309,2,0,0,1,Not Selected,0,Room_Type 1,5,2018,2,20,Online,0,0,0,79,0,0
2310,1,0,0,1,Meal Plan 1,0,Room_Type 1,10,2018,1,15,Online,0,0,0,72.9,0,0
2311,2,0,1,0,Not Selected,0,Room_Type 1,40,2018,10,2,Online,0,0,0,97.2,1,1
2312,2,0,1,0,Not Selected,0,Room_Type 1,121,2018,5,2,Online,0,0,0,129,1,0
2313,2,1,0,2,Meal Plan 1,0,Room_Type 1,97,2018,7,12,Online,0,0,0,121.5,1,0
2314,2,0,0,4,Not Selected,0,Room_Type 1,8,2017,10,28,Online,0,0,0,109.25,0,0
2315,3,0,1,5,Meal Plan 1,0,Room_Type 4,123,2018,9,20,Online,0,0,0,162,0,1
2316,2,2,1,2,Meal Plan 1,0,Room_Type 6,96,2018,10,28,Online,0,0,0,162.9,1,1
2317,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2017,8,31,Corporate,0,0,0,65,0,0
2318,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,90,0,0
2319,2,0,1,1,Meal Plan 1,0,Room_Type 2,0,2017,12,5,Online,0,0,0,73.64,0,0
2320,2,1,1,2,Meal Plan 1,0,Room_Type 1,117,2018,9,16,Online,0,0,0,145.8,1,1
2321,2,0,0,3,Not Selected,0,Room_Type 1,37,2018,12,8,Online,0,0,0,88,0,1
2322,2,0,0,3,Meal Plan 1,0,Room_Type 1,203,2018,8,9,Online,0,0,0,96.3,0,1
2323,1,0,2,1,Meal Plan 1,0,Room_Type 1,38,2018,6,19,Online,0,0,0,81,0,1
2324,2,0,1,2,Meal Plan 1,0,Room_Type 4,8,2018,3,11,Online,0,0,0,124,0,1
2325,2,0,0,1,Meal Plan 1,0,Room_Type 4,5,2018,1,15,Online,1,11,5,89.3,1,0
2326,2,0,0,4,Meal Plan 1,0,Room_Type 4,22,2017,10,20,Offline,0,0,0,75,0,0
2327,1,0,0,3,Meal Plan 1,0,Room_Type 1,14,2017,9,15,Online,0,0,0,114,1,0
2328,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,11,8,Corporate,0,0,0,170,0,0
2329,2,0,2,3,Meal Plan 1,0,Room_Type 1,359,2018,10,14,Offline,0,0,0,39,1,0
2330,2,1,1,4,Meal Plan 1,0,Room_Type 1,225,2018,10,17,Online,0,0,0,106.25,0,1
2331,2,0,0,3,Meal Plan 2,0,Room_Type 1,88,2018,5,3,Offline,0,0,0,117,1,0
2332,2,0,2,2,Meal Plan 1,0,Room_Type 1,27,2017,9,18,Online,0,0,0,120.9,0,1
2333,2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,109,0,0
2334,2,2,0,3,Meal Plan 1,0,Room_Type 1,176,2018,9,15,Online,0,0,0,143.1,0,1
2335,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Online,0,0,0,89,0,1
2336,2,0,1,3,Not Selected,0,Room_Type 1,233,2018,6,23,Online,0,0,0,100.3,0,1
2337,1,0,2,8,Meal Plan 1,0,Room_Type 1,205,2018,7,5,Online,0,0,0,90.95,1,1
2338,1,0,0,3,Meal Plan 1,0,Room_Type 1,113,2018,5,31,Corporate,0,0,0,100,0,1
2339,1,0,0,2,Meal Plan 2,0,Room_Type 1,57,2018,9,16,Offline,0,0,0,91,0,0
2340,1,0,2,1,Meal Plan 1,0,Room_Type 1,6,2017,10,11,Online,0,0,0,97.02,1,0
2341,2,0,0,1,Meal Plan 1,0,Room_Type 1,11,2018,9,29,Online,0,0,0,143.2,0,0
2342,2,0,0,4,Not Selected,0,Room_Type 1,66,2018,8,31,Online,0,0,0,120.6,0,0
2343,2,0,0,4,Meal Plan 1,0,Room_Type 4,71,2018,4,6,Online,0,0,0,105.83,1,0
2344,3,0,2,5,Meal Plan 1,0,Room_Type 4,111,2018,6,13,Online,0,0,0,150.45,2,1
2345,2,1,2,4,Meal Plan 1,0,Room_Type 1,101,2018,4,9,Online,0,0,0,85.28,2,0
2346,2,0,0,1,Not Selected,0,Room_Type 1,14,2018,2,12,Online,0,0,0,79,1,1
2347,2,1,2,2,Meal Plan 1,0,Room_Type 1,173,2018,8,13,Online,0,0,0,114.75,1,1
2348,2,0,0,3,Meal Plan 1,0,Room_Type 1,126,2018,3,24,Offline,0,0,0,55,0,0
2349,3,0,2,2,Meal Plan 2,0,Room_Type 4,42,2018,3,20,Online,0,0,0,180.16,1,0
2350,2,0,2,0,Meal Plan 2,0,Room_Type 1,275,2018,4,17,Online,0,0,0,110,0,1
2351,2,0,1,2,Not Selected,0,Room_Type 1,0,2018,4,15,Online,0,0,0,89,0,0
2352,1,0,1,5,Meal Plan 1,0,Room_Type 1,349,2018,10,4,Online,0,0,0,80,0,1
2353,2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Online,0,0,0,109,0,1
2354,1,0,1,0,Meal Plan 1,0,Room_Type 1,4,2018,9,12,Online,0,0,0,110.11,1,0
2355,2,0,0,3,Meal Plan 2,0,Room_Type 4,7,2018,4,21,Online,0,0,0,174,0,0
2356,2,0,1,1,Meal Plan 1,0,Room_Type 1,50,2018,8,29,Online,0,0,0,109.8,0,0
2357,1,0,0,2,Meal Plan 1,0,Room_Type 1,6,2018,5,31,Corporate,0,0,0,95,0,0
2358,2,0,2,5,Meal Plan 1,0,Room_Type 1,4,2017,8,14,Online,0,0,0,106.14,1,0
2359,2,0,0,1,Meal Plan 1,0,Room_Type 1,443,2018,4,29,Online,0,0,0,65,0,1
2360,2,0,2,1,Meal Plan 2,0,Room_Type 1,131,2017,8,15,Online,0,0,0,94.5,0,1
2361,2,0,0,1,Meal Plan 1,0,Room_Type 1,8,2017,9,24,Online,0,0,0,133,0,0
2362,2,0,2,0,Meal Plan 1,0,Room_Type 1,48,2018,11,13,Offline,0,0,0,75,0,0
2363,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,10,25,Online,0,0,0,84.7,1,1
2364,2,0,1,2,Not Selected,1,Room_Type 1,61,2018,11,11,Online,0,0,0,97,1,0
2365,3,0,1,2,Meal Plan 1,0,Room_Type 1,88,2018,7,18,Offline,0,0,0,96.9,2,0
2366,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,8,1,Online,0,0,0,59.04,0,0
2367,3,0,1,0,Meal Plan 1,1,Room_Type 4,71,2018,7,24,Online,0,0,0,146.7,2,0
2368,2,2,1,2,Meal Plan 1,0,Room_Type 6,58,2018,3,28,Online,0,0,0,153.85,1,0
2369,2,0,2,3,Meal Plan 1,0,Room_Type 1,25,2018,4,15,Online,0,0,0,111.4,2,0
2370,2,0,0,3,Meal Plan 1,0,Room_Type 1,2,2018,3,16,Corporate,0,0,0,40,1,0
2371,2,0,0,3,Not Selected,0,Room_Type 1,22,2018,9,15,Online,0,0,0,139,3,0
2372,2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Online,0,0,0,115,0,1
2373,2,0,0,1,Meal Plan 1,0,Room_Type 1,221,2018,8,12,Online,0,0,0,80,0,1
2374,1,0,0,3,Meal Plan 1,0,Room_Type 1,105,2018,5,5,Online,0,0,0,117.3,0,1
2375,3,0,0,1,Meal Plan 1,0,Room_Type 4,129,2018,8,17,Online,0,0,0,146.7,3,0
2376,2,0,2,3,Meal Plan 1,0,Room_Type 1,68,2018,4,2,Online,0,0,0,89.93,1,0
2377,2,0,0,3,Meal Plan 1,0,Room_Type 1,1,2018,3,15,Offline,0,0,0,80,1,0
2378,2,1,2,1,Meal Plan 1,0,Room_Type 1,110,2018,6,26,Online,0,0,0,95,0,1
2379,2,0,1,3,Meal Plan 1,0,Room_Type 4,20,2018,9,26,Online,0,0,0,131.2,0,1
2380,2,0,2,4,Meal Plan 1,0,Room_Type 1,99,2018,4,2,Online,0,0,0,62.37,0,0
2381,3,0,0,2,Meal Plan 1,0,Room_Type 4,135,2018,10,13,Online,0,0,0,151.2,3,0
2382,2,0,0,3,Meal Plan 1,0,Room_Type 4,26,2018,11,10,Online,0,0,0,118.07,1,0
2383,1,0,0,3,Meal Plan 1,0,Room_Type 1,63,2018,5,17,Offline,0,0,0,136,0,0
2384,2,0,2,4,Meal Plan 1,0,Room_Type 1,25,2018,11,6,Online,0,0,0,168.38,1,1
2385,2,1,0,3,Meal Plan 1,0,Room_Type 1,22,2018,8,2,Online,0,0,0,169,1,0
2386,2,0,0,2,Meal Plan 1,0,Room_Type 4,115,2018,12,29,Online,0,0,0,107.41,2,0
2387,2,0,0,3,Meal Plan 1,0,Room_Type 4,78,2017,12,10,Offline,0,0,0,60,0,0
2388,2,0,1,3,Meal Plan 1,0,Room_Type 1,28,2018,3,7,Offline,0,0,0,87,0,0
2389,2,0,2,3,Meal Plan 1,0,Room_Type 1,110,2018,5,1,Online,0,0,0,109.25,1,0
2390,1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,1,14,Corporate,0,0,0,66,0,0
2391,2,0,2,0,Meal Plan 1,0,Room_Type 1,146,2018,4,24,Online,0,0,0,95,0,1
2392,2,0,1,2,Meal Plan 1,0,Room_Type 1,53,2017,10,9,Online,0,0,0,94.5,0,0
2393,2,0,2,4,Meal Plan 1,0,Room_Type 1,29,2018,11,30,Online,0,0,0,104,1,0
2394,1,0,0,1,Not Selected,0,Room_Type 1,0,2018,4,5,Online,0,0,0,89,0,0
2395,2,0,0,1,Meal Plan 1,0,Room_Type 1,67,2018,3,26,Offline,0,0,0,89.24,1,0
2396,2,0,2,7,Meal Plan 1,0,Room_Type 1,161,2018,6,28,Online,0,0,0,66.53,1,0
2397,1,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Offline,0,0,0,90,0,0
2398,1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100,0,0
2399,2,0,2,2,Meal Plan 1,0,Room_Type 1,30,2017,9,5,Online,0,0,0,94.5,1,0
2400,2,0,0,3,Meal Plan 1,0,Room_Type 4,68,2018,10,18,Online,0,0,0,132.3,2,0
2401,3,0,0,3,Meal Plan 1,0,Room_Type 1,14,2018,3,10,Offline,0,0,0,102,1,0
2402,2,0,0,2,Meal Plan 1,0,Room_Type 2,125,2018,7,20,Online,0,0,0,72.25,0,1
2403,2,0,1,2,Meal Plan 1,0,Room_Type 1,133,2018,4,25,Offline,0,0,0,80.75,1,0
2404,2,0,0,4,Meal Plan 1,0,Room_Type 1,110,2018,5,3,Online,0,0,0,106.68,0,1
2405,2,0,1,3,Meal Plan 1,0,Room_Type 1,47,2018,3,14,Online,0,0,0,77.35,1,0
2406,1,0,0,1,Not Selected,0,Room_Type 1,2,2018,6,30,Online,0,0,0,127,0,0
2407,2,0,1,0,Meal Plan 1,0,Room_Type 1,23,2018,2,21,Online,0,0,0,91,1,1
2408,3,0,2,3,Meal Plan 1,1,Room_Type 4,161,2018,8,14,Online,0,0,0,145.85,2,1
2409,2,0,1,2,Meal Plan 1,0,Room_Type 1,32,2018,1,8,Offline,0,0,0,58,1,0
2410,2,0,0,1,Meal Plan 1,0,Room_Type 4,31,2018,3,1,Online,0,0,0,106.4,1,1
2411,3,0,0,1,Meal Plan 1,0,Room_Type 1,15,2018,12,27,Offline,0,0,0,65,1,0
2412,1,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,75.33,0,0
2413,2,0,1,2,Meal Plan 1,0,Room_Type 1,3,2018,6,10,Offline,0,0,0,90.67,0,0
2414,2,2,1,1,Meal Plan 1,0,Room_Type 1,64,2018,8,6,Online,0,0,0,200.1,1,0
2415,1,0,2,0,Meal Plan 2,0,Room_Type 1,386,2018,10,23,Offline,0,0,0,90,1,0
2416,2,0,2,4,Meal Plan 1,0,Room_Type 1,263,2018,9,29,Online,0,0,0,100.3,0,1
2417,2,0,1,3,Not Selected,0,Room_Type 1,184,2018,7,7,Online,0,0,0,80.75,1,0
2418,1,0,1,0,Meal Plan 1,0,Room_Type 1,27,2017,11,29,Corporate,0,0,0,65,0,0
2419,2,0,1,1,Meal Plan 1,0,Room_Type 4,47,2018,6,4,Online,0,0,0,131.4,0,1
2420,2,0,0,2,Not Selected,0,Room_Type 1,1,2018,10,12,Online,0,0,0,100.1,1,0
2421,2,0,0,3,Meal Plan 1,0,Room_Type 5,1,2018,5,5,Offline,0,0,0,119,0,0
2422,1,0,2,1,Meal Plan 1,0,Room_Type 1,0,2017,9,20,Complementary,1,0,5,0,1,0
2423,2,0,0,3,Meal Plan 1,0,Room_Type 1,279,2018,10,12,Online,0,0,0,110,0,1
2424,2,0,2,2,Meal Plan 1,0,Room_Type 1,25,2018,7,1,Offline,0,0,0,72.25,0,0
2425,2,0,4,6,Meal Plan 1,0,Room_Type 1,187,2018,8,6,Online,0,0,0,99.45,1,1
2426,1,0,0,2,Meal Plan 1,0,Room_Type 1,6,2018,4,20,Aviation,0,0,0,95,0,0
2427,3,0,1,2,Meal Plan 1,0,Room_Type 4,28,2018,8,29,Online,0,0,0,155.73,1,1
2428,2,0,0,2,Meal Plan 1,0,Room_Type 4,5,2018,9,13,Online,0,0,0,184,1,0
2429,2,0,1,4,Not Selected,0,Room_Type 1,3,2018,3,7,Online,0,0,0,90.6,0,1
2430,2,0,1,3,Meal Plan 1,0,Room_Type 1,245,2018,12,29,Online,0,0,0,145.8,1,0
2431,2,0,1,4,Meal Plan 1,1,Room_Type 1,83,2017,8,5,Online,0,0,0,76.5,1,0
2432,2,0,2,1,Meal Plan 1,0,Room_Type 1,44,2018,4,23,Offline,0,0,0,95,1,0
2433,0,2,0,1,Meal Plan 1,0,Room_Type 2,11,2018,8,19,Online,0,0,0,127.6,1,0
2434,2,0,0,2,Meal Plan 1,0,Room_Type 1,2,2018,1,22,Online,0,0,0,88,1,0
2435,2,0,0,1,Meal Plan 1,1,Room_Type 1,67,2018,4,1,Online,0,0,0,109.1,0,0
2436,2,0,2,5,Meal Plan 1,0,Room_Type 1,73,2017,10,11,Online,0,0,0,89.25,3,0
2437,2,2,0,1,Meal Plan 1,0,Room_Type 6,207,2018,8,4,Online,0,0,0,168.3,1,1
2438,1,0,1,3,Meal Plan 1,0,Room_Type 1,9,2017,10,19,Online,1,1,0,120,1,0
2439,2,1,2,1,Meal Plan 1,0,Room_Type 1,5,2018,11,19,Online,0,0,0,107.67,2,0
2440,2,1,2,4,Meal Plan 1,0,Room_Type 1,221,2018,12,23,Online,0,0,0,74.44,0,1
2441,1,0,1,2,Meal Plan 1,0,Room_Type 1,6,2018,2,22,Online,0,0,0,93,0,0
2442,2,0,2,1,Meal Plan 1,0,Room_Type 4,4,2018,5,29,Online,0,0,0,136,1,0
2443,2,0,1,2,Meal Plan 1,0,Room_Type 1,280,2018,9,19,Online,0,0,0,110,0,1
2444,1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,3,23,Online,0,0,0,96,1,0
2445,2,0,0,2,Meal Plan 1,0,Room_Type 4,6,2018,3,17,Online,0,0,0,124,1,0
2446,1,0,2,7,Meal Plan 1,0,Room_Type 1,109,2017,7,15,Online,0,0,0,68,1,1
2447,2,0,2,0,Meal Plan 1,0,Room_Type 1,36,2018,4,17,Online,0,0,0,100.8,0,1
2448,2,2,2,3,Meal Plan 1,0,Room_Type 6,8,2018,3,18,Online,0,0,0,214.6,0,1
2449,2,0,0,2,Meal Plan 1,0,Room_Type 4,32,2018,2,5,Online,0,0,0,89.3,1,0
2450,3,0,1,2,Meal Plan 1,0,Room_Type 6,3,2018,9,26,Online,0,0,0,266.67,5,0
2451,2,1,0,2,Meal Plan 1,0,Room_Type 4,23,2018,6,17,Online,0,0,0,160.5,2,0
2452,1,0,0,1,Meal Plan 1,0,Room_Type 1,119,2018,6,7,Offline,0,0,0,110,0,0
2453,2,0,2,4,Meal Plan 1,0,Room_Type 1,6,2017,8,20,Online,0,0,0,98,1,0
2454,2,0,2,2,Meal Plan 1,0,Room_Type 1,71,2018,6,17,Offline,0,0,0,80.75,1,0
2455,2,0,0,1,Not Selected,0,Room_Type 1,6,2018,6,30,Online,0,0,0,139,0,1
2456,2,0,1,1,Meal Plan 1,0,Room_Type 1,64,2018,9,5,Online,0,0,0,98.55,3,0
2457,2,0,0,3,Meal Plan 1,0,Room_Type 1,103,2018,5,4,Offline,0,0,0,80,0,0
2458,2,0,2,2,Meal Plan 1,0,Room_Type 1,65,2018,12,4,Offline,0,0,0,68,1,0
2459,2,0,0,3,Meal Plan 1,0,Room_Type 4,123,2018,3,30,Online,0,0,0,110.33,0,1
2460,2,0,1,2,Meal Plan 1,0,Room_Type 1,24,2017,12,18,Online,0,0,0,53.58,0,0
2461,2,1,0,3,Meal Plan 1,0,Room_Type 1,1,2017,8,26,Offline,0,0,0,99.3,0,0
2462,1,0,0,1,Meal Plan 1,0,Room_Type 1,62,2018,9,28,Online,0,0,0,101.18,1,0
2463,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,5,24,Online,0,0,0,141,0,0
2464,1,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,10,6,Corporate,1,0,1,65,1,0
2465,2,0,0,2,Meal Plan 1,0,Room_Type 1,117,2018,7,19,Online,0,0,0,105.3,1,0
2466,1,0,0,2,Meal Plan 1,0,Room_Type 1,119,2018,4,15,Online,0,0,0,90.9,0,0
2467,2,0,2,1,Meal Plan 1,0,Room_Type 4,11,2018,5,8,Online,0,0,0,126,1,0
2468,2,0,0,1,Not Selected,0,Room_Type 1,7,2018,3,2,Online,0,0,0,81,1,0
2469,2,0,2,3,Meal Plan 1,0,Room_Type 1,29,2018,4,15,Online,0,0,0,102.8,1,0
2470,2,0,2,3,Meal Plan 1,0,Room_Type 1,283,2018,12,30,Online,0,0,0,82.79,0,1
2471,2,0,0,1,Not Selected,1,Room_Type 1,2,2018,1,16,Online,1,11,10,86,1,0
2472,2,0,0,3,Meal Plan 1,0,Room_Type 1,29,2018,10,25,Offline,0,0,0,85,0,0
2473,2,0,1,2,Meal Plan 1,0,Room_Type 1,305,2018,11,4,Online,0,0,0,89,0,1
2474,2,0,2,4,Meal Plan 1,0,Room_Type 2,292,2018,10,23,Online,0,0,0,81.82,1,0
2475,2,0,0,1,Meal Plan 1,0,Room_Type 1,21,2017,10,7,Offline,0,0,0,85,1,0
2476,2,0,2,3,Meal Plan 1,0,Room_Type 1,54,2018,11,11,Online,0,0,0,77.25,1,0
2477,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,27,Corporate,0,0,0,160,0,0
2478,2,0,0,3,Meal Plan 1,0,Room_Type 1,6,2017,11,26,Offline,0,0,0,55,0,0
2479,1,0,0,2,Meal Plan 1,0,Room_Type 1,22,2017,8,26,Corporate,0,0,0,65,0,0
2480,2,0,0,4,Not Selected,0,Room_Type 1,177,2018,8,24,Online,0,0,0,82.88,0,1
2481,3,0,0,1,Meal Plan 1,0,Room_Type 4,42,2018,3,22,Online,0,0,0,131.4,1,0
2482,2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,101.5,0,1
2483,2,0,1,3,Meal Plan 1,0,Room_Type 1,250,2018,9,26,Online,0,0,0,95,0,1
2484,2,0,0,3,Meal Plan 1,1,Room_Type 4,29,2018,2,3,Online,0,0,0,104.77,0,0
2485,2,0,2,3,Meal Plan 1,0,Room_Type 4,92,2017,12,26,Offline,0,0,0,60,1,0
2486,2,0,2,2,Meal Plan 1,0,Room_Type 1,135,2018,7,23,Online,0,0,0,99.45,0,1
2487,2,0,0,1,Meal Plan 1,0,Room_Type 1,33,2018,5,25,Online,0,0,0,108.9,0,0
2488,2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,2,26,Online,0,0,0,93,0,0
2489,2,0,0,2,Meal Plan 2,0,Room_Type 1,0,2017,8,14,Offline,0,0,0,109,0,0
2490,2,0,0,3,Meal Plan 1,0,Room_Type 1,12,2018,5,31,Online,0,0,0,111.35,0,1
2491,2,0,2,2,Meal Plan 1,0,Room_Type 1,166,2018,8,5,Online,0,0,0,99.45,0,1
2492,2,0,2,3,Meal Plan 1,0,Room_Type 1,7,2018,1,8,Online,0,0,0,71.6,0,0
2493,2,0,1,2,Meal Plan 1,0,Room_Type 1,35,2018,3,7,Online,0,0,0,81.9,0,1
2494,3,0,0,2,Meal Plan 1,0,Room_Type 4,52,2018,9,7,Online,0,0,0,149.4,2,0
2495,2,0,2,2,Meal Plan 1,0,Room_Type 1,78,2018,5,14,Online,0,0,0,119.85,2,0
2496,2,0,2,3,Not Selected,0,Room_Type 1,277,2018,10,20,Online,0,0,0,84.15,0,1
